"submitted_item" "validated_id" "current_symbol"
"113" "FBgn0030310" "FBgn0030310" "PGRP-SA"
"114" "FBgn0030331" "FBgn0030331" "CG15221"
"115" "FBgn0030452" "FBgn0030452" "MFS10"
"116" "FBgn0030482" "FBgn0030482" "Bcat"
"117" "FBgn0030749" "FBgn0030749" "AnxB11"
"118" "FBgn0030786" "FBgn0030786" "mRpL22"
"119" "FBgn0030963" "FBgn0030963" "CG7101"
"120" "FBgn0030999" "FBgn0030999" "Mur18B"
"121" "FBgn0031037" "FBgn0031037" "CG14207"
"122" "FBgn0031110" "FBgn0031110" "Obp19b"
"123" "FBgn0031111" "FBgn0031111" "Obp19c"
"124" "FBgn0031176" "FBgn0031176" "whe"
"125" "FBgn0031184" "FBgn0031184" "CG14615"
"126" "FBgn0031277" "FBgn0031277" "CG13947"
"127" "FBgn0031322" "FBgn0031322" "CG5001"
"128" "FBgn0031397" "FBgn0031397" "CG15385"
"129" "FBgn0031432" "FBgn0031432" "Cyp309a1"
"130" "FBgn0031471" "FBgn0031471" "CG3117"
"131" "FBgn0031474" "FBgn0031474" "CG2991"
"132" "FBgn0031547" "FBgn0031547" "Sr-CIV"
"133" "FBgn0031554" "FBgn0031554" "CG15418"
"134" "FBgn0031562" "FBgn0031562" "CG3604"
"135" "FBgn0031636" "FBgn0031636" "CG12194"
"136" "FBgn0031664" "FBgn0031664" "CG8892"
"137" "FBgn0031677" "FBgn0031677" "CG14036"
"138" "FBgn0031701" "FBgn0031701" "TotM"
"139" "FBgn0031813" "FBgn0031813" "Acox3"
"140" "FBgn0031850" "FBgn0031850" "Tsp"
"141" "FBgn0031865" "FBgn0031865" "Nha1"
"142" "FBgn0031910" "FBgn0031910" "CG15818"
"143" "FBgn0031937" "FBgn0031937" "CG13795"
"144" "FBgn0031939" "FBgn0031939" "CG13796"
"145" "FBgn0031990" "FBgn0031990" "PAPLA1"
"146" "FBgn0032008" "FBgn0032008" "CG14277"
"147" "FBgn0032010" "FBgn0032010" "CG8086"
"148" "FBgn0032055" "FBgn0032055" "Sgp"
"149" "FBgn0032079" "FBgn0032079" "CG31886"
"150" "FBgn0032127" "FBgn0032127" "CG13114"
"151" "FBgn0032129" "FBgn0032129" "jp"
"152" "FBgn0032139" "FBgn0032139" "CG13116"
"153" "FBgn0032171" "FBgn0032171" "CG5846"
"154" "FBgn0032213" "FBgn0032213" "Sph35"
"155" "FBgn0032230" "FBgn0032230" "lft"
"156" "FBgn0032253" "FBgn0032253" "LManI"
"157" "FBgn0032382" "FBgn0032382" "Mal-B2"
"158" "FBgn0032387" "FBgn0032387" "CG16965"
"159" "FBgn0032444" "FBgn0032444" "CCT4"
"160" "FBgn0032453" "FBgn0032453" "CG6180"
"161" "FBgn0032470" "FBgn0032470" "Ttc30"
"162" "FBgn0032601" "FBgn0032601" "yellow-b"
"163" "FBgn0032638" "FBgn0032638" "SPH93"
"164" "FBgn0032639" "FBgn0032639" "CG18563"
"165" "FBgn0032699" "FBgn0032699" "CG10383"
"166" "FBgn0032732" "FBgn0032732" "EMC5"
"167" "FBgn0032772" "FBgn0032772" "CG17350"
"168" "FBgn0032810" "FBgn0032810" "CG13077"
"169" "FBgn0032840" "FBgn0032840" "sNPF"
"170" "FBgn0032897" "FBgn0032897" "bero"
"171" "FBgn0032899" "FBgn0032899" "CG9338"
"172" "FBgn0032900" "FBgn0032900" "CG14401"
"173" "FBgn0032908" "FBgn0032908" "CG9270"
"174" "FBgn0032910" "FBgn0032910" "CG9265"
"175" "FBgn0032945" "FBgn0032945" "CG8665"
"176" "FBgn0033033" "FBgn0033033" "scaf"
"177" "FBgn0033047" "FBgn0033047" "CG7882"
"178" "FBgn0033110" "FBgn0033110" "CG9447"
"179" "FBgn0033130" "FBgn0033130" "Tsp42Ei"
"180" "FBgn0033134" "FBgn0033134" "Tsp42El"
"181" "FBgn0033234" "FBgn0033234" "MFS12"
"182" "FBgn0033250" "FBgn0033250" "CG14762"
"183" "FBgn0033289" "FBgn0033289" "CG2121"
"184" "FBgn0033294" "FBgn0033294" "Mal-A4"
"185" "FBgn0033296" "FBgn0033296" "Mal-A7"
"186" "FBgn0033297" "FBgn0033297" "Mal-A8"
"187" "FBgn0033353" "FBgn0033353" "BaraB"
"188" "FBgn0033395" "FBgn0033395" "Cyp4p2"
"189" "FBgn0033397" "FBgn0033397" "Cyp4p3"
"190" "FBgn0033476" "FBgn0033476" "oys"
"191" "FBgn0033518" "FBgn0033518" "Prx6c"
"192" "FBgn0033521" "FBgn0033521" "CG12896"
"193" "FBgn0033574" "FBgn0033574" "Spn47C"
"194" "FBgn0033592" "FBgn0033592" "CG13215"
"195" "FBgn0033593" "FBgn0033593" "Listericin"
"196" "FBgn0033725" "FBgn0033725" "Cpr49Ac"
"197" "FBgn0033742" "FBgn0033742" "Nepl10"
"198" "FBgn0033775" "FBgn0033775" "Cyp9h1"
"199" "FBgn0033814" "FBgn0033814" "Qsox1"
"200" "FBgn0033830" "FBgn0033830" "CG10814"
"201" "FBgn0033875" "FBgn0033875" "CG6357"
"202" "FBgn0033919" "FBgn0033919" "CG8547"
"203" "FBgn0033926" "FBgn0033926" "Arc1"
"204" "FBgn0033927" "FBgn0033927" "CR10102"
"205" "FBgn0033928" "FBgn0033928" "Arc2"
"206" "FBgn0034045" "FBgn0034045" "CG8249"
"207" "FBgn0034047" "FBgn0034047" "cGlr1"
"208" "FBgn0034094" "FBgn0034094" "Tsf3"
"209" "FBgn0034162" "FBgn0034162" "CG6426"
"210" "FBgn0034197" "FBgn0034197" "Cda9"
"211" "FBgn0034221" "FBgn0034221" "CG10764"
"212" "FBgn0034247" "FBgn0034247" "CG6484"
"213" "FBgn0034276" "FBgn0034276" "Sardh"
"214" "FBgn0034328" "FBgn0034328" "BomBc1"
"215" "FBgn0034329" "FBgn0034329" "BomS1"
