,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0016070,32243.94957,-0.016870841,0.065280709,0.619509762,0.8477077
FBgn0016075,4394.426304,-0.030526138,0.077866995,0.259441399,0.613000101
FBgn0016076,1117.052536,0.405485909,0.164660064,0.000513997,0.016687657
FBgn0016078,801.5061842,0.02416971,0.050623302,0.522960506,0.800155389
FBgn0016080,57.43612169,-0.01825413,0.070376772,0.530405518,0.804127439
FBgn0016081,2428.072787,0.033240102,0.069425555,0.427034786,0.743532604
FBgn0016119,2556.991262,-0.067232586,0.063086362,0.120825679,0.442945679
FBgn0016120,2939.089939,-0.048679505,0.060461898,0.231270421,0.584815326
FBgn0016122,2232.186216,-0.049175724,0.077514874,0.219177042,0.573136785
FBgn0016123,3322.326474,0.051635405,0.081544001,0.164648234,0.510429996
FBgn0016126,4455.315674,0.052730222,0.066126181,0.208592793,0.561786711
FBgn0016131,1038.998863,-0.001568977,0.053478591,0.958489003,0.987994938
FBgn0016641,2386.340451,0.023512048,0.060267525,0.541061295,0.809644587
FBgn0016650,137.7903945,-0.017170726,0.070915889,0.538887021,0.809280481
FBgn0016660,22.42376893,0.027766434,0.079554851,0.155319409,0.495060277
FBgn0016672,1178.785933,-0.0126643,0.046601164,0.72922581,0.897063213
FBgn0016675,122.7269611,-0.640515185,0.175192713,1.13156E-05,0.001047821
FBgn0016684,900.4131854,0.01759489,0.060945942,0.646217153,0.860456438
FBgn0016685,4403.478902,-0.001963524,0.050465675,0.9570987,0.987468644
FBgn0016687,4975.223199,-0.030204602,0.042217506,0.386298814,0.71518485
FBgn0016691,3200.91321,-0.038847959,0.066165569,0.311992139,0.662608047
FBgn0016693,3293.162311,-0.023888297,0.050883182,0.529166805,0.804127439
FBgn0016694,2911.739163,0.10326211,0.141852244,0.037022194,0.261092282
FBgn0016696,3861.702426,-0.038644735,0.054253639,0.325063779,0.674367143
FBgn0016697,2836.333617,-0.092736683,0.049757154,0.021239357,0.198750365
FBgn0016698,730.5107502,-0.022186012,0.062879026,0.545516762,0.81217736
FBgn0016701,1383.207299,0.029657514,0.044224171,0.407032495,0.731799981
FBgn0016715,177.2488216,0.048624369,0.093952085,0.053350434,0.314752781
FBgn0016726,4153.541982,-0.017028331,0.064313855,0.623981565,0.850036575
FBgn0016754,941.58611,0.001258775,0.051596606,0.973189192,0.991723542
FBgn0016756,5401.663136,0.053595669,0.043681948,0.139980174,0.472921598
FBgn0016762,229.5329406,-0.012446476,0.065649954,0.7033976,0.887365368
FBgn0016794,3014.290709,-0.025844935,0.053577622,0.499316064,0.788553576
FBgn0016797,715.8528548,0.020476587,0.065475996,0.557100283,0.817607623
FBgn0016917,7781.540716,0.076047092,0.05809093,0.088466808,0.386733595
FBgn0016919,10.52036274,0.021198076,0.078312627,0.071959948,0.357936521
FBgn0016920,198.9583304,0.015415074,0.072833763,0.510069489,0.794919282
FBgn0016926,3999.484662,0.087281357,0.078160719,0.068730587,0.353210162
FBgn0016930,1541.98405,-0.013008757,0.055555294,0.714348076,0.891909094
FBgn0016970,274.2141509,-0.111851482,0.126259694,0.038644055,0.267940369
FBgn0016974,219.3721953,-0.050761599,0.079347008,0.188874558,0.539670225
FBgn0016977,7268.505772,-0.030764119,0.071830769,0.360402827,0.698375581
FBgn0016978,911.9740099,-0.087543661,0.099986937,0.068544206,0.352718784
FBgn0016983,4303.562263,0.034485006,0.059458238,0.379288042,0.710838939
FBgn0016984,3886.760599,-0.077395346,0.064092262,0.084314173,0.379806104
FBgn0017414,360.3587774,-0.020031694,0.06794128,0.527093637,0.8032505
FBgn0017418,2067.994852,-0.012671872,0.045189693,0.714526884,0.891923197
FBgn0017424,1.282987156,0.001139934,0.074628756,0.812842842,NA
FBgn0017429,683.8027029,-0.036087457,0.057648605,0.371371913,0.70601572
FBgn0017430,529.8990856,-0.019829506,0.060194674,0.590948713,0.83415427
FBgn0017448,1252.559289,-0.035827043,0.063320742,0.343767738,0.686310957
FBgn0017456,3.230549197,0.00752992,0.07503883,0.258961463,NA
FBgn0017457,1129.493386,-0.048751225,0.075301163,0.229682537,0.583487658
FBgn0017482,208.7188758,-0.018230257,0.069103528,0.557831406,0.817895294
FBgn0017545,42834.74081,0.045685689,0.048546204,0.364105559,0.700547264
FBgn0017550,2524.457741,-0.17425877,0.146907008,0.014805919,0.161219021
FBgn0017551,1488.13212,-0.062708098,0.085185065,0.142359548,0.475095967
FBgn0017556,5.169406306,-0.00220367,0.07410072,0.828419854,0.941096973
FBgn0017558,2987.718392,0.199634774,0.060201152,9.50489E-05,0.005244436
FBgn0017561,1900.09292,-0.030428816,0.061861466,0.42854606,0.744596652
FBgn0017566,3743.28936,-0.036505686,0.080489812,0.193237049,0.54534215
FBgn0017567,1673.387442,0.088901768,0.066229382,0.054063169,0.316502852
FBgn0017572,1687.503133,0.017942495,0.042027658,0.611068749,0.842880274
FBgn0017577,4327.421618,-0.071867316,0.089819167,0.097907541,0.40217346
FBgn0017578,434.7389817,0.092938019,0.076130253,0.05517017,0.318793032
FBgn0017579,14694.30396,-0.001543514,0.063716124,0.749826957,0.906593649
FBgn0017581,29456.85509,0.031118371,0.050687455,0.425586763,0.742354372
FBgn0017590,74.22425909,-0.01441359,0.069159544,0.621837463,0.849294234
FBgn0019624,2021.251073,-0.034513926,0.079804108,0.220680466,0.574719072
FBgn0019637,1522.478265,-0.086524389,0.084405403,0.070615581,0.355929089
FBgn0019643,893.1512128,0.076741491,0.085512113,0.095266008,0.399647684
FBgn0019644,1847.24094,-0.026582804,0.071918695,0.39573989,0.723619928
FBgn0019650,71.90689067,0.005461784,0.06969447,0.833181688,0.942416184
FBgn0019660,0.569096498,-0.005316369,0.07497482,0.146700322,NA
FBgn0019661,67.20307008,0.446033617,0.391030499,0.004498297,0.074235349
FBgn0019662,809.7815454,0.043149546,0.050693476,0.267603155,0.620172643
FBgn0019686,8402.42898,-0.029050127,0.066187228,0.419560974,0.739293698
FBgn0019809,0.101451234,-0.000103112,0.074767514,1,NA
FBgn0019828,0.058926854,0.000576355,0.074766224,0.94806198,NA
FBgn0019830,1160.600937,-0.087290648,0.122395847,0.05231284,0.312556312
FBgn0019890,2877.057089,0.08193023,0.056877004,0.05508783,0.318793032
FBgn0019925,2760.61346,0.0204162,0.041686151,0.552958299,0.816272701
FBgn0019928,330.6693064,-0.071488871,0.129571733,0.009144603,0.120520894
FBgn0019929,323.1931863,0.02883342,0.079181435,0.185633706,0.535449556
FBgn0019932,754.9358634,-0.055858563,0.063615782,0.187658051,0.537971515
FBgn0019936,9767.012884,-0.043564226,0.071161713,0.261445816,0.614531137
FBgn0019938,2394.017105,-0.020038706,0.04591845,0.555449788,0.817607623
FBgn0019940,411.998853,0.245122752,0.154773153,0.005027276,0.080097206
FBgn0019949,496.1364665,0.006367927,0.059278788,0.862492908,0.954387641
FBgn0019952,275.8292585,0.001494591,0.069845949,0.960305267,0.988098912
FBgn0019957,2111.608825,-0.049935565,0.067847253,0.238392684,0.592172542
FBgn0019960,2943.315434,-0.07244509,0.058964747,0.081034852,0.373487646
FBgn0019968,2624.000844,0.038649897,0.069486572,0.309913412,0.660185623
FBgn0019972,1244.658736,-0.096753502,0.064473356,0.036831474,0.26104857
FBgn0019982,763.8810023,-0.002383171,0.068548902,0.918783355,0.974092876
FBgn0019985,103.9483799,0.005468429,0.069616503,0.834351849,0.94276677
FBgn0019990,2221.073666,0.008751305,0.056505209,0.821616515,0.937827944
FBgn0020018,507.6237139,-0.086630537,0.086158459,0.074568835,0.360291981
FBgn0020224,4173.068117,-0.001793042,0.059097822,0.951697043,0.985954062
FBgn0020235,4569.149476,-0.048768519,0.068430468,0.22265584,0.57587859
FBgn0020236,7897.903937,0.114986375,0.10351283,0.035858192,0.259348712
FBgn0020238,12480.64254,-0.006294137,0.04644507,0.855542173,0.952584932
FBgn0020248,1295.57351,-0.018166994,0.044372347,0.614366975,0.845016187
FBgn0020249,1594.570374,0.084904956,0.047652702,0.028711695,0.233600901
FBgn0020251,1083.485065,0.043917641,0.055501391,0.273034322,0.625816293
FBgn0020255,11521.82968,-0.046095489,0.061269959,0.239697432,0.59375156
FBgn0020257,284.7001273,0.018059158,0.068279837,0.570774984,0.823294198
FBgn0020258,16.49872552,0.014287308,0.074267604,0.436336582,0.74847749
FBgn0020261,1973.682557,-0.157698347,0.075015884,0.004777242,0.077432045
FBgn0020269,67.05971872,0.081136726,0.139013955,0.021083204,0.197636479
FBgn0020270,990.3560621,-0.024341112,0.064490481,0.511643449,0.795158447
FBgn0020272,727.9692099,-0.040812571,0.065392327,0.290853117,0.64127249
FBgn0020277,10.52876656,0.018366206,0.077477857,0.068550185,0.352718784
FBgn0020278,1156.183893,0.082385263,0.088356908,0.0768864,0.365519318
FBgn0020279,9345.20391,-0.134230425,0.057254452,0.00356713,0.063628757
FBgn0020280,0.06540233,-0.000896103,0.074769817,0.81098957,NA
FBgn0020294,183.3076037,-0.003226377,0.068144602,0.917178109,0.973781624
FBgn0020299,290.2895996,0.05689825,0.098850836,0.066576149,0.347363747
FBgn0020300,152.5387312,-0.048603395,0.092758953,0.069774177,0.354665973
FBgn0020304,2719.384556,0.085276432,0.080173737,0.073037631,0.358257821
FBgn0020305,753.0053122,-0.092689084,0.090913369,0.054427285,0.317142193
FBgn0020306,17189.75181,-0.053016678,0.060738529,0.187598096,0.537971515
FBgn0020307,168.4720035,0.016172504,0.071402631,0.544085344,0.811479667
FBgn0020309,3986.050484,0.010628506,0.050557869,0.766689636,0.915049729
FBgn0020312,1545.358534,-6.40054E-05,0.054916464,0.999942043,0.999942043
FBgn0020369,3702.61114,-0.04427309,0.043315097,0.212879317,0.566276153
FBgn0020370,7231.570089,-0.089715553,0.059776595,0.042436042,0.281558509
FBgn0020372,70.93376841,-0.010097094,0.07199695,0.647725163,0.860456438
FBgn0020376,1.598754094,0.008410812,0.075261141,0.158323192,NA
FBgn0020377,0.273258287,0.000692438,0.074749369,0.837729075,NA
FBgn0020378,62.93247254,0.01611057,0.072462835,0.516273548,0.79805344
FBgn0020379,732.7192131,-0.02224485,0.051535574,0.545049916,0.812045635
FBgn0020381,416.8228126,-0.001047494,0.056276332,0.963281497,0.988916491
FBgn0020385,3882.556163,0.054397463,0.094852978,0.106529426,0.418146649
FBgn0020386,5464.849579,0.014536579,0.04070428,0.741528517,0.901658666
FBgn0020388,1377.710103,-0.004877846,0.050825532,0.894343739,0.967300071
FBgn0020389,693.8383573,-0.034999097,0.067693142,0.34216363,0.685159246
FBgn0020391,64.82902161,0.000802845,0.069063078,0.976080944,0.99295956
FBgn0020392,3303.164433,-0.066931929,0.076723397,0.136426512,0.467591223
FBgn0020399,0.577064473,0.000950246,0.074725603,0.78557707,NA
FBgn0020407,566.0738325,-0.045366125,0.07332107,0.235664737,0.59007613
FBgn0020412,2610.376185,0.020403815,0.055083136,0.594414902,0.835489278
FBgn0020414,1881.369993,0.614907126,0.130031137,9.88972E-08,2.92544E-05
FBgn0020415,3527.42306,0.199979261,0.205342276,0.012539802,0.147975282
FBgn0020416,2470.404536,0.08412738,0.138601233,0.022423443,0.203289744
FBgn0020429,6.388469292,0.017148304,0.076937878,0.108747268,0.421568861
FBgn0020440,2153.276591,0.011201963,0.058322105,0.760236492,0.911274021
FBgn0020443,7465.99398,0.006035753,0.041464641,0.919487652,0.974179172
FBgn0020445,2453.244013,-0.008484707,0.057902616,0.81521739,0.934811487
FBgn0020493,642.9468082,0.245314923,0.160358336,0.00566591,0.086698255
FBgn0020496,6110.813719,-0.091450161,0.048171555,0.033296999,0.252477561
FBgn0020497,6835.025063,-0.022433617,0.057929469,0.564522205,0.82061428
FBgn0020503,4588.305907,0.039629517,0.053413709,0.3287891,0.676961006
FBgn0020506,2.693585949,0.000531471,0.074528658,0.907818687,NA
FBgn0020508,275.2733199,-0.582522982,0.422291537,0.003606851,0.064015594
FBgn0020509,0.049259887,-9.66067E-05,0.074767555,1,NA
FBgn0020510,1814.915066,-0.005967219,0.055028092,0.866178726,0.955737989
FBgn0020513,4438.560112,0.361313335,0.14474728,0.000533973,0.017179101
FBgn0020518,0.706799943,-0.002366778,0.074759762,0.444637865,NA
FBgn0020521,642.9759996,0.102190593,0.151161381,0.03138418,0.245381891
FBgn0020545,1368.938816,-0.005005029,0.066885812,0.829571533,0.941242207
FBgn0020546,1.659694476,-0.002390629,0.074645933,0.642482659,NA
FBgn0020556,0.125924728,-0.000202802,0.074756728,0.906517629,NA
FBgn0020616,1668.965334,-0.008311741,0.056122209,0.801760826,0.93041971
FBgn0020617,3.168309451,-0.00038841,0.074480202,0.950958086,NA
FBgn0020618,28476.29631,-0.028214555,0.061022005,0.460278503,0.76460828
FBgn0020620,1940.18329,0.009755239,0.05322329,0.795229754,0.927446903
FBgn0020621,4109.810761,0.021559708,0.048112444,0.513252061,0.795693871
FBgn0020622,3998.80489,-0.050978603,0.057981744,0.214370346,0.567673999
FBgn0020626,2378.412123,-0.013652492,0.060551818,0.724496229,0.895653627
FBgn0020633,3922.509892,-0.035330891,0.07188293,0.315509762,0.666639575
FBgn0020637,0.324184654,-0.000726759,0.074745689,0.835895395,NA
FBgn0020641,0.06887511,0.000598645,0.074766545,0.94806198,NA
FBgn0020642,2.064087353,0.00809035,0.07515482,0.207741725,NA
FBgn0020647,2141.809367,0.008163234,0.053239986,0.826753303,0.940206741
FBgn0020653,6987.609159,-0.044648817,0.074944728,0.239242878,0.593556338
FBgn0020655,1908.724031,-0.105422975,0.062295899,0.023113423,0.205798364
FBgn0020660,43.07065607,0.040438055,0.090744718,0.00468361,0.076496562
FBgn0020762,1098.270074,0.070927859,0.101142815,0.082522041,0.377319543
FBgn0020764,1903.779627,-0.032106933,0.074767721,0.325170332,0.674367143
FBgn0020765,4.823891279,0.01056463,0.07528784,0.254726463,0.608680405
FBgn0020767,1059.172645,0.018186336,0.044100776,0.609894322,0.842163465
FBgn0020880,15.9194268,0.022888506,0.079115555,0.051084474,0.308436536
FBgn0020887,2741.713823,-0.033485985,0.06053722,0.389064173,0.718049286
FBgn0020906,779.7192567,-0.010352937,0.073221258,0.5602417,0.819282321
FBgn0020907,305.0727176,0.051876233,0.092090569,0.104803262,0.41478207
FBgn0020908,307.3070495,-1.983404118,0.140414765,1.47426E-46,1.56994E-42
FBgn0020909,542.76264,-0.01241532,0.052950094,0.730527267,0.897063213
FBgn0020910,37931.88554,0.013266467,0.05686482,0.723965744,0.895653627
FBgn0020912,225.4905888,-0.113878643,0.169995904,0.028164213,0.231024204
FBgn0020930,680.5205109,-0.072555818,0.067752635,0.107322906,0.418840031
FBgn0021738,10.53647062,-0.002188376,0.073726454,0.860640591,0.954228525
FBgn0021742,0.96096175,0.002530004,0.074765229,0.448833094,NA
FBgn0021750,594.4087834,-0.031557915,0.062178261,0.419312445,0.739036449
FBgn0021760,3984.836105,-0.021253932,0.061013102,0.570793601,0.823294198
FBgn0021761,4017.24799,-0.077876804,0.084869677,0.101964511,0.409996125
FBgn0021764,4154.462811,-0.024128914,0.06056182,0.536698836,0.807814651
FBgn0021765,1826.986778,-0.016332495,0.075910126,0.261087843,0.614497021
FBgn0021767,47.55416996,-0.028960677,0.078651987,0.212038594,0.565371185
FBgn0021768,1456.349316,-0.053132861,0.065059668,0.199901125,0.552943294
FBgn0021776,32.01295929,-0.004394485,0.072493113,0.809323094,0.933577751
FBgn0021795,1130.975609,-0.021343666,0.075336721,0.325069383,0.674367143
FBgn0021796,2155.901747,0.062278119,0.064111284,0.151061086,0.488505771
FBgn0021800,1561.154849,-0.072896865,0.064568127,0.098734865,0.403774032
FBgn0021814,622.9256763,0.024101744,0.048596519,0.519260185,0.799647134
FBgn0021818,2573.952158,-0.00182451,0.057335328,0.959558011,0.987994938
FBgn0021825,960.8785522,-0.055413286,0.084296479,0.147627039,0.483069749
FBgn0021847,1529.230459,-0.020925688,0.055451725,0.562719983,0.820091023
FBgn0021856,537.5646324,-0.011304139,0.05875244,0.761390829,0.912246956
FBgn0021872,6915.093811,0.16364555,0.128166104,0.014403219,0.158790773
FBgn0021874,450.0815066,-0.031861167,0.060603452,0.410418657,0.733682773
FBgn0021875,284.8795953,-0.097791097,0.10105218,0.056109186,0.320533477
FBgn0021895,1542.404649,0.013064379,0.049177072,0.725933833,0.896214721
FBgn0021906,2161.687915,-0.012642556,0.074847925,0.359367067,0.698084622
FBgn0021944,1188.704124,-0.070456591,0.074002149,0.119953199,0.442145095
FBgn0021967,1165.260426,-0.023450065,0.069808731,0.464674748,0.767657678
FBgn0021979,2883.641762,-0.019229406,0.058383931,0.607210875,0.841152724
FBgn0021995,1550.282244,-0.075136149,0.059872571,0.084996985,0.380650071
FBgn0022023,4342.884251,0.035743648,0.043470843,0.313194692,0.663855549
FBgn0022027,308.6884342,-0.04268977,0.084090679,0.154982662,0.494579072
FBgn0022029,1293.239833,-0.028816499,0.047561315,0.439843712,0.75089483
FBgn0022069,2605.830015,-0.057802562,0.062702715,0.171257424,0.519134731
FBgn0022097,2550.886848,-0.041334695,0.041769865,0.236142833,0.590326956
FBgn0022153,3246.228476,-0.035332819,0.054327254,0.364301487,0.700547264
FBgn0022160,1849.274174,0.005564174,0.070334939,0.822202179,0.937827944
FBgn0022213,6769.948589,-0.023576984,0.064628295,0.499460871,0.788665305
FBgn0022224,106.7037886,-0.032022977,0.075425475,0.300473281,0.650622159
FBgn0022238,3352.579131,0.001022496,0.059064515,0.967037961,0.989573622
FBgn0022288,1340.115325,-0.076773566,0.058399295,0.073282445,0.358502078
FBgn0022338,3264.798172,-0.030097493,0.071157277,0.379487412,0.710838939
FBgn0022343,2105.074416,-0.08438778,0.070973007,0.069670787,0.35447884
FBgn0022344,697.8668122,-0.018106498,0.052895186,0.626552789,0.850696845
FBgn0022349,3283.48508,-0.007518347,0.047618411,0.837073696,0.943779543
FBgn0022355,14676.26087,0.038234951,0.088557761,0.010854628,0.134878565
FBgn0022359,346.4612278,0.014573244,0.069826841,0.607744203,0.84121152
FBgn0022361,1429.800858,0.114726189,0.087701042,0.031516866,0.245697732
FBgn0022382,2118.582485,-0.012961659,0.039984904,0.700955781,0.885886317
FBgn0022699,617.3473646,-0.009098885,0.055143171,0.820496974,0.937396446
FBgn0022700,1023.206586,0.020043531,0.077893644,0.084485055,0.380258588
FBgn0022702,481.8899654,-0.299378539,0.132181674,0.001189725,0.030093549
FBgn0022709,509.5193371,0.043499546,0.078511568,0.211203342,0.565101605
FBgn0022710,994.5111653,0.02040178,0.067521328,0.541744013,0.809973921
FBgn0022724,550.4878244,-0.017944073,0.061144254,0.625496405,0.850582457
FBgn0022740,1.652775972,-0.001438396,0.074648993,0.750613882,NA
FBgn0022764,11512.71535,-0.0278262,0.059845475,0.481212956,0.777726024
FBgn0022768,3410.93721,-0.037924207,0.064075203,0.334402231,0.680238656
FBgn0022770,10.7255135,0.003176627,0.073740885,0.804363825,0.93115234
FBgn0022772,3770.213738,-0.015746374,0.066440601,0.634049385,0.854358079
FBgn0022774,608.7567138,0.027937246,0.077536153,0.246402582,0.598799884
FBgn0022786,1565.661152,-0.028204913,0.066069418,0.383606038,0.713914837
FBgn0022787,2110.350874,0.019579389,0.053091852,0.608527713,0.841379689
FBgn0022800,131.7436279,0.04401921,0.080281841,0.203241924,0.556381298
FBgn0022893,20104.08239,-0.043764593,0.070862748,0.263600359,0.616263496
FBgn0022935,1115.693082,-0.029392727,0.062935606,0.435251972,0.747662543
FBgn0022936,689.9359109,-0.036622911,0.068864331,0.331266245,0.677796084
FBgn0022942,2373.001823,-0.01774286,0.05867988,0.580254651,0.828222412
FBgn0022943,491.7143345,-0.02298568,0.062846905,0.5380889,0.808887379
FBgn0022959,3729.561569,-0.043607153,0.078107647,0.222651502,0.57587859
FBgn0022960,1697.300954,-0.027173534,0.062740891,0.474924251,0.775328583
FBgn0022981,3249.528366,-0.02003791,0.059546818,0.52198529,0.799839599
FBgn0022984,719.7168708,-0.030019531,0.056657378,0.441072577,0.751998378
FBgn0022985,1791.418416,-0.043864459,0.062479944,0.261560171,0.614531137
FBgn0022986,740.671119,-0.085907092,0.073107602,0.069537364,0.354307844
FBgn0022987,1520.856461,0.010096333,0.055103305,0.783833153,0.921326284
FBgn0023000,586.8457176,0.110110566,0.079577817,0.031814263,0.24622129
FBgn0023001,230.3689317,0.002045702,0.067691017,0.94199599,0.981876687
FBgn0023023,458.0635529,0.056484203,0.096290018,0.083534591,0.379336838
FBgn0023076,285.0743278,0.042821859,0.084687826,0.145560924,0.480171528
FBgn0023081,2368.068875,-0.017455787,0.056001688,0.648942521,0.860456438
FBgn0023083,3219.747191,0.03446844,0.066013523,0.37858784,0.710838939
FBgn0023090,17.50312294,-0.014774911,0.074826532,0.380403476,0.711311083
FBgn0023091,5.18646186,-0.003248322,0.074095622,0.758301139,0.909875925
FBgn0023094,1775.566897,-0.062648768,0.083229988,0.145535528,0.480171528
FBgn0023095,1502.001163,0.018404199,0.066731731,0.581392923,0.828593849
FBgn0023096,13.19366715,0.017248609,0.076649251,0.167765951,0.514774185
FBgn0023097,3284.647813,-0.058358679,0.062127731,0.166613777,0.513587955
FBgn0023129,2741.00566,0.523227052,0.091010664,4.48541E-10,2.98532E-07
FBgn0023130,494.4198336,-0.023531974,0.075088031,0.339695173,0.683817301
FBgn0023143,15368.38734,-0.043428063,0.055126277,0.251380495,0.605644998
FBgn0023167,838.0332881,-0.084688273,0.087911898,0.071790385,0.357702482
FBgn0023169,2066.683985,-0.053421684,0.086963692,0.140698813,0.473872478
FBgn0023170,3102.868038,-0.040906362,0.073583612,0.283717396,0.634995072
FBgn0023171,472.0633002,-0.012657415,0.061197693,0.72482128,0.895837468
FBgn0023172,7236.972365,0.015187667,0.051372616,0.707045418,0.88898535
FBgn0023174,2937.075394,-0.053869418,0.061386032,0.195979224,0.548196153
FBgn0023175,3542.778515,-0.033257134,0.054905087,0.394462959,0.722896116
FBgn0023177,2064.382683,-0.094041205,0.084732748,0.059282764,0.328675466
FBgn0023178,26.04106444,0.005241541,0.07208744,0.794368433,0.926901413
FBgn0023179,250.9503097,0.077998253,0.097947563,0.083297782,0.379336838
FBgn0023180,348.5903102,-0.166011774,0.174478329,0.017338357,0.174844856
FBgn0023181,926.4011495,-0.042612558,0.07473204,0.242437804,0.595140657
FBgn0023197,2860.269576,-0.010685545,0.072313835,0.618808441,0.847245013
FBgn0023212,1703.013474,-0.038585416,0.070099253,0.303514072,0.654673152
FBgn0023213,15255.43225,-0.052115365,0.054240959,0.194043886,0.546074145
FBgn0023214,126.6813335,0.371081704,0.201428211,0.002204416,0.046577026
FBgn0023215,3649.615715,-0.092166428,0.072356261,0.053021802,0.314297189
FBgn0023216,1140.062192,-0.0002272,0.063593891,0.990158353,0.996615907
FBgn0023388,1412.111814,0.028088022,0.050570287,0.459042368,0.76370024
FBgn0023395,2218.094996,-0.01733196,0.069378282,0.490448325,0.782791399
FBgn0023407,3275.526515,0.026576025,0.049384645,0.483244139,0.778570429
FBgn0023415,0,NA,NA,NA,NA
FBgn0023416,112.418226,0.008669704,0.071041874,0.70942712,0.890085623
FBgn0023441,3353.487479,-0.036342137,0.051221221,0.345685676,0.687433569
FBgn0023458,4760.03784,-0.023386629,0.064614555,0.598326949,0.837704927
FBgn0023477,3440.113261,0.03288946,0.062555378,0.412583365,0.734699363
FBgn0023479,4811.963024,0.029423369,0.077066632,0.30391255,0.654826682
FBgn0023489,30.11735521,0.038817465,0.085680577,0.092467897,0.394033867
FBgn0023495,2.582602051,0.006852272,0.074934842,0.309882141,NA
FBgn0023496,7.875003999,0.013669431,0.076065518,0.138431959,0.470978005
FBgn0023506,798.3012704,-0.025473878,0.061583081,0.498237868,0.787728957
FBgn0023507,2463.328357,0.055993374,0.09552585,0.06824267,0.352164405
FBgn0023508,1968.475465,-0.000940492,0.051332773,0.977138211,0.99295956
FBgn0023509,1383.015342,-0.068587418,0.075693533,0.123900846,0.446340874
FBgn0023510,1789.206161,0.003138718,0.057103553,0.933211236,0.980249206
FBgn0023511,1197.249025,-0.009337083,0.044776828,0.793734362,0.926690785
FBgn0023512,959.0472308,-0.141513139,0.05762438,0.002404011,0.049146608
FBgn0023513,1135.189766,-0.028427839,0.069578261,0.408547835,0.732182652
FBgn0023514,1040.550629,-0.09393944,0.069360894,0.047503313,0.297042151
FBgn0023515,8199.270194,-0.001369218,0.065388526,0.942806489,0.981999924
FBgn0023516,819.0872012,-0.061044523,0.067874575,0.163693092,0.508805526
FBgn0023517,779.5996567,-0.05217932,0.067005051,0.210433357,0.564317507
FBgn0023518,2004.932146,-0.00741702,0.058175615,0.846224324,0.948671919
FBgn0023519,485.0885223,-0.064556823,0.080302239,0.134107496,0.463073731
FBgn0023520,269.1242975,-0.096812319,0.09067715,0.055466747,0.31908703
FBgn0023521,383.5973145,-0.05321717,0.070675405,0.201320581,0.554438609
FBgn0023522,1749.75654,-0.053524389,0.052848386,0.181468961,0.530842524
FBgn0023523,4.959512718,0.006480907,0.074697981,0.443341349,0.753453882
FBgn0023524,55.20078137,0.018474996,0.072971158,0.451988032,0.75958594
FBgn0023525,94.04141486,0.009405956,0.070063174,0.718761572,0.893912432
FBgn0023526,2359.281955,-0.063339251,0.06847333,0.147114403,0.482334137
FBgn0023527,1352.496469,-0.119247533,0.064019383,0.013726477,0.1541912
FBgn0023528,6114.55902,-0.035636937,0.063516332,0.364304847,0.700547264
FBgn0023529,7238.880522,0.096508522,0.059757175,0.030565164,0.241281272
FBgn0023530,206.0668132,-0.040356235,0.079595364,0.215384016,0.569137565
FBgn0023531,905.8069766,0.049562689,0.072057303,0.21257589,0.566213271
FBgn0023534,26.84622138,0.019569392,0.076539472,0.236353444,0.590360978
FBgn0023535,271.8769118,0.011769521,0.073942516,0.497729737,0.787462412
FBgn0023536,715.6467652,-0.00826281,0.058579016,0.844265423,0.947773823
FBgn0023537,3944.157224,0.124118441,0.049429706,0.002680176,0.052756373
FBgn0023540,1047.985608,0.113592348,0.080709247,0.028832323,0.233946448
FBgn0023541,84.07287943,-0.006784177,0.068806634,0.802211614,0.930481996
FBgn0023542,935.0010507,-0.019817972,0.060192109,0.590574899,0.83415427
FBgn0023545,699.9219578,-0.125975932,0.061668986,0.007983906,0.111429378
FBgn0023549,1152.369247,0.01581357,0.065528816,0.644854433,0.859982219
FBgn0023550,149.8769382,-0.0144225,0.073015452,0.511086003,0.795158447
FBgn0024150,171.781061,0.456858691,0.17803864,0.0003956,0.014184322
FBgn0024177,3012.769097,0.00555959,0.060403672,0.906914121,0.97109714
FBgn0024179,401.0742388,-0.01741533,0.068503091,0.813124156,0.934811487
FBgn0024183,1611.636822,0.012128172,0.063781046,0.723844805,0.895653627
FBgn0024184,10.91771698,0.028206307,0.081824445,0.024414496,0.212931995
FBgn0024187,1279.886278,0.019976791,0.060670177,0.591537627,0.83415427
FBgn0024188,1254.987796,-0.030229446,0.059403879,0.423489269,0.741245435
FBgn0024189,89.78223559,-0.004651791,0.07204404,0.816904548,0.935128597
FBgn0024191,472.0835754,-0.206861748,0.081748342,0.00100843,0.026450173
FBgn0024194,828.8015616,-0.006813694,0.057056873,0.853035184,0.951699494
FBgn0024196,557.4135515,-0.02039481,0.056407192,0.59233283,0.83415427
FBgn0024222,1054.926684,0.027909326,0.067691799,0.432693603,0.74631587
FBgn0024227,580.62798,-0.018446237,0.068977611,0.55218657,0.815906033
FBgn0024230,1037.139665,-0.053847696,0.065059376,0.203665262,0.557110551
FBgn0024232,68.74196827,0.016664359,0.072601716,0.49102365,0.783213417
FBgn0024234,343.6892192,0.008127019,0.072036145,0.704344785,0.887546981
FBgn0024236,3213.555399,0.067213401,0.061633033,0.109964324,0.424867602
FBgn0024238,4333.749934,-0.017815577,0.044109258,0.569514045,0.823122771
