"submitted_item" "validated_id" "current_symbol"
"113" "FBgn0000308" "FBgn0000308" "chic"
"114" "FBgn0039613" "FBgn0039613" "Nepl20"
"115" "FBgn0033134" "FBgn0033134" "Tsp42El"
"116" "FBgn0038298" "FBgn0028984" "Spn88Ea"
"117" "FBgn0031207" "FBgn0031207" "CG13356"
"118" "FBgn0004431" "FBgn0004431" "LysX"
"119" "FBgn0025878" "FBgn0025878" "wrapper"
"120" "FBgn0038002" "FBgn0038002" "CG12256"
"121" "FBgn0035950" "FBgn0263199" "Galk"
"122" "FBgn0003250" "FBgn0003250" "Rh4"
"123" "FBgn0036262" "FBgn0036262" "Miox"
"124" "FBgn0039888" "FBgn0040206" "krz"
"125" "FBgn0037057" "FBgn0037057" "CG10512"
"126" "FBgn0039453" "FBgn0039453" "CG6403"
"127" "FBgn0031937" "FBgn0031937" "CG13795"
"128" "FBgn0032497" "FBgn0264894" "CG44085"
"129" "FBgn0034164" "FBgn0046999" "CG6429"
"130" "FBgn0033313" "FBgn0033313" "Cirl"
"131" "FBgn0011744" "FBgn0262716" "Arp3"
"132" "FBgn0035920" "FBgn0052029" "Cpr66D"
"133" "FBgn0013771" "FBgn0013771" "Cyp6a9"
"134" "FBgn0038412" "FBgn0038412" "Zip89B"
"135" "FBgn0031562" "FBgn0031562" "CG3604"
"136" "FBgn0028411" "FBgn0028411" "Nxt1"
"137" "FBgn0034364" "FBgn0034364" "CG5493"
"138" "FBgn0033968" "FBgn0033968" "hui"
"139" "FBgn0017558" "FBgn0017558" "Pdk"
"140" "FBgn0040588" "FBgn0040588" "CG13841"
"141" "FBgn0004885" "FBgn0004885" "tok"
"142" "FBgn0034143" "FBgn0034143" "CG8303"
"143" "FBgn0040968" "FBgn0040968" "CG14933"
"144" "FBgn0011638" "FBgn0011638" "La"
"145" "FBgn0028515" "FBgn0028515" "EndoGI"
"146" "FBgn0034431" "FBgn0086358" "Tab2"
"147" "FBgn0037396" "FBgn0037396" "CtsL3"
"148" "FBgn0039099" "FBgn0039099" "GILT2"
"149" "FBgn0033659" "FBgn0033659" "Damm"
"150" "FBgn0038930" "FBgn0038930" "BomT3"
"151" "FBgn0029549" "FBgn0040349" "CG3699"
"152" "FBgn0030355" "FBgn0250871" "pot"
"153" "FBgn0032726" "FBgn0032726" "CG10621"
"154" "FBgn0040972" "FBgn0040972" "CG16978"
"155" "FBgn0030749" "FBgn0030749" "AnxB11"
"156" "FBgn0028540" "FBgn0028540" "CG9008"
"157" "FBgn0031933" "FBgn0041181" "Tep3"
"158" "FBgn0036635" "FBgn0260388" "CG42514"
"159" "FBgn0032387" "FBgn0032387" "CG16965"
"160" "FBgn0034407" "FBgn0034407" "DptB"
"161" "FBgn0014865" "FBgn0014865" "Mtk"
"162" "FBgn0010385" "FBgn0010385" "Def"
"163" "FBgn0033833" "FBgn0041579" "AttC"
"164" "FBgn0040549" "FBgn0051354" "Hsp70Bbb"
"165" "FBgn0033959" "FBgn0041581" "AttB"
"166" "FBgn0001225" "FBgn0001225" "Hsp26"
"167" "FBgn0039452" "FBgn0039452" "CG14245"
"168" "FBgn0001230" "FBgn0001230" "Hsp68"
"169" "FBgn0031701" "FBgn0031701" "TotM"
"170" "FBgn0012042" "FBgn0012042" "AttA"
"171" "FBgn0038059" "FBgn0013279" "Hsp70Bc"
"172" "FBgn0035176" "FBgn0035176" "mat"
"173" "FBgn0040582" "FBgn0040582" "BomBc3"
"174" "FBgn0038074" "FBgn0038074" "Gnmt"
"175" "FBgn0010222" "FBgn0010222" "Nmdmc"
"176" "FBgn0010381" "FBgn0283461" "Drs"
"177" "FBgn0034335" "FBgn0034335" "GstE1"
"178" "FBgn0039241" "FBgn0039241" "CG11089"
"179" "FBgn0036030" "FBgn0036030" "Prps"
"180" "FBgn0033835" "FBgn0288447" "BaraA2"
"181" "FBgn0015657" "FBgn0263106" "DnaJ-1"
"182" "FBgn0037612" "FBgn0037612" "CG8112"
"183" "FBgn0011296" "FBgn0011296" "l(2)efl"
"184" "FBgn0029766" "FBgn0029766" "CG15784"
"185" "FBgn0000052" "FBgn0000052" "Pfas"
"186" "FBgn0038467" "FBgn0038467" "Adsl"
"187" "FBgn0000053" "FBgn0000053" "Gart"
"188" "FBgn0034741" "FBgn0034741" "CG4269"
"189" "FBgn0033789" "FBgn0033789" "CG13324"
"190" "FBgn0014455" "FBgn0014455" "Ahcy"
"191" "FBgn0034329" "FBgn0034329" "BomS1"
"192" "FBgn0034296" "FBgn0034296" "CG10912"
"193" "FBgn0040736" "FBgn0040736" "BomS3"
"194" "FBgn0032382" "FBgn0032382" "Mal-B2"
"195" "FBgn0029823" "FBgn0029823" "Shmt"
"196" "FBgn0030929" "FBgn0030929" "CG15043"
"197" "FBgn0040734" "FBgn0040734" "BomS5"
"198" "FBgn0020385" "FBgn0020385" "pug"
"199" "FBgn0023129" "FBgn0023129" "aay"
"200" "FBgn0033125" "FBgn0029507" "Tsp42Ed"
"201" "FBgn0039649" "FBgn0014427" "CG11899"
"202" "FBgn0020513" "FBgn0020513" "Paics"
"203" "FBgn0036371" "FBgn0086708" "stv"
"204" "FBgn0038024" "FBgn0010041" "GstD5"
"205" "FBgn0025583" "FBgn0025583" "BomS2"
"206" "FBgn0035444" "FBgn0035444" "CG12012"
"207" "FBgn0010173" "FBgn0010173" "RPA1"
"208" "FBgn0032140" "FBgn0032140" "CG13117"
"209" "FBgn0033928" "FBgn0033928" "Arc2"
"210" "FBgn0039239" "FBgn0039239" "Srg1"
"211" "FBgn0000083" "FBgn0000083" "AnxB9"
"212" "FBgn0028519" "FBgn0286723" "hll"
"213" "FBgn0034354" "FBgn0034354" "GstE11"
"214" "FBgn0038465" "FBgn0038465" "Irc"
"215" "FBgn0013772" "FBgn0013772" "Cyp6a8"
"216" "FBgn0030263" "FBgn0030263" "CG2076"
"217" "FBgn0036290" "FBgn0036290" "CG10638"
"218" "FBgn0037447" "FBgn0037447" "Neurochondrin"
"219" "FBgn0001258" "FBgn0001258" "Ldh"
"220" "FBgn0039593" "FBgn0039593" "Sid"
"221" "FBgn0038893" "FBgn0289108" "Archease"
"222" "FBgn0001224" "FBgn0001224" "Hsp23"
"223" "FBgn0001223" "FBgn0001223" "Hsp22"
"224" "FBgn0030155" "FBgn0052695" "CG32695"
"225" "FBgn0014031" "FBgn0014031" "Agxt"
"226" "FBgn0037151" "FBgn0037151" "CG7130"
"227" "FBgn0030189" "FBgn0030189" "CG2909"
"228" "FBgn0039544" "FBgn0039544" "CG12877"
"229" "FBgn0030679" "FBgn0030679" "CG8206"
"230" "FBgn0001233" "FBgn0001233" "Hsp83"
"231" "FBgn0010621" "FBgn0010621" "CCT5"
"232" "FBgn0036364" "FBgn0036364" "CG14109"
"233" "FBgn0031977" "FBgn0031977" "baf"
"234" "FBgn0003231" "FBgn0003231" "ref(2)P"
"235" "FBgn0037883" "FBgn0037883" "Dph3"
"236" "FBgn0015351" "FBgn0015351" "Mettl4"
"237" "FBgn0031432" "FBgn0031432" "Cyp309a1"
"238" "FBgn0038172" "FBgn0038172" "Adgf-D"
"239" "FBgn0033205" "FBgn0033205" "Rdh1"
"240" "FBgn0030159" "FBgn0030159" "CG9689"
"241" "FBgn0034312" "FBgn0034312" "CG10916"
"242" "FBgn0031846" "FBgn0028990" "Spn27A"
"243" "FBgn0031824" "FBgn0031824" "CG9547"
"244" "FBgn0039434" "FBgn0039434" "TwdlM"
"245" "FBgn0034756" "FBgn0034756" "Cyp6d2"
"246" "FBgn0030821" "FBgn0260747" "Chchd2"
"247" "FBgn0038021" "FBgn0010038" "GstD2"
"248" "FBgn0002069" "FBgn0002069" "AspRS"
"249" "FBgn0034342" "FBgn0063492" "GstE8"
"250" "FBgn0028940" "FBgn0028940" "Cyp28a5"
"251" "FBgn0038661" "FBgn0261113" "Xrp1"
"252" "FBgn0001142" "FBgn0001142" "Gs1"
"253" "FBgn0039541" "FBgn0086346" "ALiX"
"254" "FBgn0034497" "FBgn0034497" "Mpcp1"
"255" "FBgn0033367" "FBgn0033367" "PPO2"
"256" "FBgn0002865" "FBgn0002865" "Mst98Ca"
"257" "FBgn0040705" "FBgn0040705" "ND-B8"
"258" "FBgn0005633" "FBgn0005633" "fln"
"259" "FBgn0040609" "FBgn0040609" "CG3348"
"260" "FBgn0000165" "FBgn0283437" "PPO1"
"261" "FBgn0023415" "FBgn0023415" "Acp32CD"
"262" "FBgn0035491" "FBgn0035491" "Dpy-30L2"
"263" "FBgn0034144" "FBgn0034144" "CG5089"
"264" "FBgn0033445" "FBgn0040093" "lectin-46Ca"
"265" "FBgn0035817" "FBgn0035817" "CG7409"
"266" "FBgn0033287" "FBgn0033287" "CG8701"
"267" "FBgn0033274" "FBgn0033274" "CG14757"
"268" "FBgn0033776" "FBgn0250842" "CG17575"
"269" "FBgn0033444" "FBgn0040092" "lectin-46Cb"
"270" "FBgn0038978" "FBgn0038978" "tHMG1"
"271" "FBgn0033027" "FBgn0033027" "TpnC4"
