"submitted_item" "validated_id" "current_symbol"
"99" "FBgn0010387" "FBgn0010387" "Acbp2"
"100" "FBgn0036534" "FBgn0036534" "DCP2"
"101" "FBgn0004240" "FBgn0004240" "DptA"
"102" "FBgn0034407" "FBgn0034407" "DptB"
"103" "FBgn0010388" "FBgn0010388" "Dro"
"104" "FBgn0283461" "FBgn0283461" "Drs"
"105" "FBgn0000565" "FBgn0000565" "MsrA"
"106" "FBgn0037724" "FBgn0037724" "Fst"
"107" "FBgn0063491" "FBgn0063491" "GstE9"
"108" "FBgn0001208" "FBgn0001208" "Hn"
"109" "FBgn0001223" "FBgn0001223" "Hsp22"
"110" "FBgn0034329" "FBgn0034329" "BomS1"
"111" "FBgn0067905" "FBgn0067905" "Dso2"
"112" "FBgn0025583" "FBgn0025583" "BomS2"
"113" "FBgn0034328" "FBgn0034328" "BomBc1"
"114" "FBgn0040736" "FBgn0040736" "BomS3"
"115" "FBgn0040653" "FBgn0040653" "Dso1"
"116" "FBgn0020414" "FBgn0020414" "Idgf3"
"117" "FBgn0002570" "FBgn0002570" "Mal-A1"
"118" "FBgn0004431" "FBgn0004431" "LysX"
"119" "FBgn0030993" "FBgn0030993" "Mec2"
"120" "FBgn0023215" "FBgn0023215" "Mnt"
"121" "FBgn0014865" "FBgn0014865" "Mtk"
"122" "FBgn0002868" "FBgn0002868" "MtnA"
"123" "FBgn0052656" "FBgn0052656" "Muc11A"
"124" "FBgn0030999" "FBgn0030999" "Mur18B"
"125" "FBgn0025390" "FBgn0025390" "Mur2B"
"126" "FBgn0039800" "FBgn0039800" "Npc2g"
"127" "FBgn0034470" "FBgn0034470" "Obp56d"
"128" "FBgn0039678" "FBgn0039678" "Obp99a"
"129" "FBgn0039682" "FBgn0039682" "Obp99c"
"130" "FBgn0043578" "FBgn0043578" "PGRP-SB1"
"131" "FBgn0011695" "FBgn0011695" "EbpIII"
"132" "FBgn0003067" "FBgn0003067" "Pepck1"
"133" "FBgn0039102" "FBgn0039102" "SPE"
"134" "FBgn0024289" "FBgn0024289" "Sodh1"
"135" "FBgn0041182" "FBgn0041182" "Tep2"
"136" "FBgn0028396" "FBgn0028396" "TotA"
"137" "FBgn0038838" "FBgn0038838" "TotB"
"138" "FBgn0044812" "FBgn0044812" "TotC"
"139" "FBgn0031701" "FBgn0031701" "TotM"
"140" "FBgn0033027" "FBgn0033027" "TpnC4"
"141" "FBgn0022355" "FBgn0022355" "Tsf1"
"142" "FBgn0032074" "FBgn0032074" "Tsp29Fa"
"143" "FBgn0032075" "FBgn0032075" "Tsp29Fb"
"144" "FBgn0029507" "FBgn0029507" "Tsp42Ed"
"145" "FBgn0263352" "FBgn0263352" "Unr"
"146" "FBgn0003961" "FBgn0003961" "Uro"
"147" "FBgn0000427" "FBgn0000427" "dec"
"148" "FBgn0261954" "FBgn0261954" "east"
"149" "FBgn0038914" "FBgn0038914" "fit"
"150" "FBgn0005633" "FBgn0005633" "fln"
"151" "FBgn0264495" "FBgn0264495" "gpp"
"152" "FBgn0259984" "FBgn0259984" "kuz"
"153" "FBgn0086899" "FBgn0283657" "Tlk"
"154" "FBgn0043841" "FBgn0043841" "vir-1"
"155" "FBgn0020765" "FBgn0020765" "Acp65Aa"
"156" "FBgn0000045" "FBgn0000045" "Act79B"
"157" "FBgn0000046" "FBgn0000046" "Act87E"
"158" "FBgn0000047" "FBgn0000047" "Act88F"
"159" "FBgn0000071" "FBgn0000071" "Ama"
"160" "FBgn0000078" "FBgn0000078" "Amy-d"
"161" "FBgn0000079" "FBgn0000079" "Amy-p"
"162" "FBgn0034295" "FBgn0034295" "CG10911"
"163" "FBgn0036678" "FBgn0036678" "CG11905"
"164" "FBgn0032127" "FBgn0032127" "CG13114"
"165" "FBgn0035933" "FBgn0035933" "CG13309"
"166" "FBgn0033789" "FBgn0033789" "CG13324"
"167" "FBgn0033275" "FBgn0033275" "CG14756"
"168" "FBgn0035768" "FBgn0035768" "CG14834"
"169" "FBgn0035547" "FBgn0035547" "CG15022"
"170" "FBgn0039897" "FBgn0039897" "CG1674"
"171" "FBgn0036953" "FBgn0036953" "CG17145"
"172" "FBgn0039473" "FBgn0039473" "CG17191"
"173" "FBgn0039472" "FBgn0039472" "CG17192"
"174" "FBgn0003065" "FBgn0003065" "CG2150"
"175" "FBgn0050289" "FBgn0050289" "CG30289"
"176" "FBgn0051004" "FBgn0051004" "mesh"
"177" "FBgn0051148" "FBgn0051148" "Gba1a"
"178" "FBgn0051601" "FBgn0051601" "CG31601"
"179" "FBgn0263747" "FBgn0263747" "CG43672"
"180" "FBgn0085201" "FBgn0085201" "COX7AL2"
"181" "FBgn0038820" "FBgn0038820" "CG4000"
"182" "FBgn0038469" "FBgn0038469" "CG4009"
"183" "FBgn0035982" "FBgn0035982" "CG4461"
"184" "FBgn0038484" "FBgn0038484" "CG5246"
"185" "FBgn0262007" "FBgn0262007" "Srg2"
"186" "FBgn0036262" "FBgn0036262" "Miox"
"187" "FBgn0031942" "FBgn0031942" "CG7203"
"188" "FBgn0031940" "FBgn0031940" "CG7214"
"189" "FBgn0036948" "FBgn0036948" "CG7298"
"190" "FBgn0033999" "FBgn0033999" "CG8093"
"191" "FBgn0035781" "FBgn0035781" "CG8560"
"192" "FBgn0033294" "FBgn0033294" "Mal-A4"
"193" "FBgn0032069" "FBgn0032069" "LManVI"
"194" "FBgn0263006" "FBgn0263006" "SERCA"
"195" "FBgn0004777" "FBgn0004777" "Ccp84Ag"
"196" "FBgn0000277" "FBgn0000277" "CecA2"
"197" "FBgn0000356" "FBgn0000356" "Cp16"
"198" "FBgn0000358" "FBgn0000358" "Cp19"
"199" "FBgn0050042" "FBgn0050042" "Cpr49Ab"
"200" "FBgn0033728" "FBgn0033728" "Cpr49Ae"
"201" "FBgn0033978" "FBgn0033978" "Cyp6a23"
"202" "FBgn0015039" "FBgn0015039" "Cyp9b2"
"203" "FBgn0086265" "FBgn0086265" "psd"
"204" "FBgn0022160" "FBgn0022160" "Gpo1"
"205" "FBgn0001224" "FBgn0001224" "Hsp23"
"206" "FBgn0001254" "FBgn0001254" "ImpE2"
"207" "FBgn0020906" "FBgn0020906" "Jon25Bi"
"208" "FBgn0031654" "FBgn0031654" "Jon25Bii"
"209" "FBgn0035667" "FBgn0035667" "Jon65Ai"
"210" "FBgn0003356" "FBgn0003356" "Jon99Cii"
"211" "FBgn0039778" "FBgn0039778" "Jon99Fi"
"212" "FBgn0020637" "FBgn0020637" "Lcp65Ag2"
"213" "FBgn0002569" "FBgn0002569" "Mal-A2"
"214" "FBgn0004425" "FBgn0004425" "LysB"
"215" "FBgn0004427" "FBgn0004427" "LysD"
"216" "FBgn0038294" "FBgn0038294" "Mf"
"217" "FBgn0264695" "FBgn0264695" "Mhc"
"218" "FBgn0002772" "FBgn0002772" "Mlc1"
"219" "FBgn0002773" "FBgn0002773" "Mlc2"
"220" "FBgn0259209" "FBgn0259209" "Mlp60A"
"221" "FBgn0261675" "FBgn0261675" "Npc1b"
"222" "FBgn0051410" "FBgn0051410" "Npc2e"
"223" "FBgn0042201" "FBgn0042201" "Nplp3"
"224" "FBgn0037424" "FBgn0037424" "Osi15"
"225" "FBgn0037430" "FBgn0037430" "Osi20"
"226" "FBgn0037416" "FBgn0037416" "Osi9"
"227" "FBgn0003149" "FBgn0003149" "Prm"
"228" "FBgn0011286" "FBgn0011286" "RyR"
"229" "FBgn0004117" "FBgn0004117" "Tm2"
"230" "FBgn0013348" "FBgn0013348" "TpnC41C"
"231" "FBgn0039444" "FBgn0039444" "TwdlD"
"232" "FBgn0037224" "FBgn0037224" "TwdlF"
"233" "FBgn0039434" "FBgn0039434" "TwdlM"
"234" "FBgn0039441" "FBgn0039441" "TwdlN"
"235" "FBgn0053519" "FBgn0053519" "Obsc"
"236" "FBgn0003979" "FBgn0003979" "Vm26Aa"
"237" "FBgn0003980" "FBgn0003980" "Vm26Ab"
"238" "FBgn0003983" "FBgn0003983" "Vm34Ca"
"239" "FBgn0265991" "FBgn0265991" "Zasp52"
"240" "FBgn0005666" "FBgn0005666" "bt"
"241" "FBgn0010425" "FBgn0010425" "εTry"
"242" "FBgn0001174" "FBgn0001174" "halo"
"243" "FBgn0010482" "FBgn0010482" "hlk"
"244" "FBgn0011555" "FBgn0011555" "θTry"
"245" "FBgn0004169" "FBgn0004169" "up"
"246" "FBgn0283471" "FBgn0283471" "wupA"
"247" "FBgn0041709" "FBgn0041709" "yellow-g"
"248" "FBgn0035328" "FBgn0035328" "yellow-g2"
"249" "FBgn0036131" "FBgn0036131" "CG12522"
"250" "FBgn0052073" "FBgn0052073" "CG32073"
"251" "FBgn0036757" "FBgn0036757" "Ir75a"
