"submitted_item" "validated_id" "current_symbol"
"99" "FBgn0034081" "FBgn0034081" "CG10731"
"100" "FBgn0036373" "FBgn0036373" "Tgi"
"101" "FBgn0033821" "FBgn0033821" "CG10799"
"102" "FBgn0029663" "FBgn0029663" "CG10804"
"103" "FBgn0033830" "FBgn0033830" "CG10814"
"104" "FBgn0038865" "FBgn0038865" "cDIP"
"105" "FBgn0038839" "FBgn0038839" "Ktl"
"106" "FBgn0262126" "FBgn0262126" "Sec24CD"
"107" "FBgn0037238" "FBgn0037238" "CG1090"
"108" "FBgn0034312" "FBgn0034312" "CG10916"
"109" "FBgn0037228" "FBgn0037228" "CG1092"
"110" "FBgn0029969" "FBgn0029969" "Acat1"
"111" "FBgn0034253" "FBgn0034253" "CG10936"
"112" "FBgn0032857" "FBgn0032857" "CG10947"
"113" "FBgn0036316" "FBgn0036316" "nebu"
"114" "FBgn0030073" "FBgn0030073" "CG10962"
"115" "FBgn0031830" "FBgn0031830" "COX5B"
"116" "FBgn0031741" "FBgn0031741" "CG11034"
"117" "FBgn0034484" "FBgn0034484" "CG11044"
"118" "FBgn0031836" "FBgn0031836" "CG11050"
"119" "FBgn0030530" "FBgn0030530" "jub"
"120" "FBgn0039241" "FBgn0039241" "CG11089"
"121" "FBgn0034485" "FBgn0034485" "CG11099"
"122" "FBgn0039250" "FBgn0039250" "Mink"
"123" "FBgn0030266" "FBgn0030266" "CG11122"
"124" "FBgn0039927" "FBgn0039927" "CG11155"
"125" "FBgn0033249" "FBgn0033249" "CG11191"
"126" "FBgn0033246" "FBgn0033246" "ACC"
"127" "FBgn0034720" "FBgn0034720" "Liprin-γ"
"128" "FBgn0033067" "FBgn0033067" "CG11211"
"129" "FBgn0031855" "FBgn0031855" "meng"
"130" "FBgn0031860" "FBgn0031860" "Daao2"
"131" "FBgn0034451" "FBgn0034451" "Tbcb"
"132" "FBgn0037279" "FBgn0037279" "Gmppb"
"133" "FBgn0265052" "FBgn0265052" "St3"
"134" "FBgn0030058" "FBgn0030058" "CG11294"
