"submitted_item" "validated_id" "current_symbol"
"114" "FBgn0022708" "FBgn0283494" "Ak2"
"115" "FBgn0035039" "FBgn0035039" "Adck1"
"116" "FBgn0033073" "FBgn0263144" "bin3"
"117" "FBgn0015040" "FBgn0015040" "Cyp9c1"
"118" "FBgn0003475" "FBgn0003475" "spir"
"119" "FBgn0011661" "FBgn0011661" "Moe"
"120" "FBgn0034748" "FBgn0034748" "Alkbh8"
"121" "FBgn0029147" "FBgn0029147" "NtR"
"122" "FBgn0029079" "FBgn0029079" "icln"
"123" "FBgn0035149" "FBgn0035149" "MED30"
"124" "FBgn0024754" "FBgn0024754" "Flo1"
"125" "FBgn0035375" "FBgn0035375" "Pgant6"
"126" "FBgn0034447" "FBgn0034447" "CG7744"
"127" "FBgn0035438" "FBgn0035438" "Gtpx"
"128" "FBgn0001404" "FBgn0001404" "egh"
"129" "FBgn0034715" "FBgn0034715" "Oatp58Db"
"130" "FBgn0034716" "FBgn0034716" "Oatp58Dc"
"131" "FBgn0039023" "FBgn0039023" "Nepl14"
"132" "FBgn0039024" "FBgn0039024" "Nepl15"
"133" "FBgn0016078" "FBgn0016078" "wun"
"134" "FBgn0030050" "FBgn0030050" "CG12111"
"135" "FBgn0030051" "FBgn0030051" "spirit"
"136" "FBgn0038277" "FBgn0038277" "RpS5b"
"137" "FBgn0035262" "FBgn0035262" "CG18171"
"138" "FBgn0031245" "FBgn0031245" "CG3625"
"139" "FBgn0038749" "FBgn0038749" "Xport-A"
"140" "FBgn0011837" "FBgn0011837" "Tis11"
"141" "FBgn0026433" "FBgn0026433" "Grip128"
"142" "FBgn0013772" "FBgn0013772" "Cyp6a8"
"143" "FBgn0034403" "FBgn0034403" "CG18190"
"144" "FBgn0034663" "FBgn0034663" "CG4363"
"145" "FBgn0034664" "FBgn0034664" "CG4377"
"146" "FBgn0010651" "FBgn0010651" "MFS14"
"147" "FBgn0033367" "FBgn0033367" "PPO2"
"148" "FBgn0015039" "FBgn0015039" "Cyp9b2"
"149" "FBgn0029801" "FBgn0029801" "CG15771"
"150" "FBgn0032512" "FBgn0032512" "Bdp1"
"151" "FBgn0031554" "FBgn0031554" "CG15418"
"152" "FBgn0039326" "FBgn0039326" "CG10562"
"153" "FBgn0035476" "FBgn0035476" "CG12766"
"154" "FBgn0033448" "FBgn0033448" "hebe"
"155" "FBgn0004363" "FBgn0004363" "porin"
"156" "FBgn0032010" "FBgn0032010" "CG8086"
"157" "FBgn0020306" "FBgn0020306" "dom"
"158" "FBgn0001296" "FBgn0001296" "kar"
"159" "FBgn0011726" "FBgn0011726" "tsr"
"160" "FBgn0032073" "FBgn0085427" "CG34398"
"161" "FBgn0035871" "FBgn0035871" "BI-1"
"162" "FBgn0030277" "FBgn0030277" "CG1394"
"163" "FBgn0045761" "FBgn0045761" "CHKov1"
"164" "FBgn0037063" "FBgn0037063" "CG9391"
"165" "FBgn0037064" "FBgn0037064" "CG9389"
"166" "FBgn0016013" "FBgn0016013" "Faa"
"167" "FBgn0041710" "FBgn0041710" "yellow-f"
"168" "FBgn0026090" "FBgn0026090" "Lamtor5"
"169" "FBgn0028969" "FBgn0028969" "δCOP"
"170" "FBgn0033887" "FBgn0033887" "St4"
"171" "FBgn0042712" "FBgn0042712" "HBS1"
"172" "FBgn0038349" "FBgn0038349" "AOX3"
"173" "FBgn0034247" "FBgn0034247" "CG6484"
"174" "FBgn0031538" "FBgn0031538" "CG3246"
"175" "FBgn0033631" "FBgn0033631" "Sod3"
"176" "FBgn0046225" "FBgn0046225" "CG17230"
"177" "FBgn0013305" "FBgn0013305" "Nmda1"
"178" "FBgn0025692" "FBgn0025692" "Lfg"
"179" "FBgn0030098" "FBgn0030098" "CG12057"
"180" "FBgn0031300" "FBgn0261938" "PolrMT"
"181" "FBgn0038857" "FBgn0038857" "Bdbt"
"182" "FBgn0022344" "FBgn0022344" "CG10340"
"183" "FBgn0034902" "FBgn0034902" "CG5532"
"184" "FBgn0037930" "FBgn0037930" "CG14715"
"185" "FBgn0039233" "FBgn0039233" "CG7006"
"186" "FBgn0003360" "FBgn0003360" "sesB"
"187" "FBgn0039830" "FBgn0039830" "ATPsynC"
"188" "FBgn0031675" "FBgn0031675" "CG9121"
"189" "FBgn0034802" "FBgn0034802" "CNBP"
"190" "FBgn0024556" "FBgn0024556" "mEFTu1"
"191" "FBgn0035593" "FBgn0035593" "Yod1"
"192" "FBgn0032479" "FBgn0032479" "CG16974"
"193" "FBgn0035720" "FBgn0035720" "CG10077"
"194" "FBgn0035128" "FBgn0264707" "RhoGEF3"
"195" "FBgn0002921" "FBgn0002921" "Atpα"
"196" "FBgn0038181" "FBgn0038181" "CG9297"
"197" "FBgn0036298" "FBgn0036298" "nst"
"198" "FBgn0037560" "FBgn0037560" "CR18228"
"199" "FBgn0027066" "FBgn0027066" "Eb1"
"200" "FBgn0003423" "FBgn0003423" "slgA"
"201" "FBgn0035766" "FBgn0035766" "eco"
"202" "FBgn0034497" "FBgn0034497" "Mpcp1"
"203" "FBgn0038981" "FBgn0038981" "CG5346"
"204" "FBgn0032454" "FBgn0032454" "CG5787"
"205" "FBgn0024360" "FBgn0024360" "MTPAP"
"206" "FBgn0037615" "FBgn0037615" "CG11760"
"207" "FBgn0033610" "FBgn0033610" "CG18335"
"208" "FBgn0034087" "FBgn0034087" "clu"
"209" "FBgn0014029" "FBgn0014029" "Septin2"
"210" "FBgn0038809" "FBgn0038809" "CG16953"
"211" "FBgn0032078" "FBgn0032078" "C1GalTA"
"212" "FBgn0034058" "FBgn0034058" "Pex11ab"
"213" "FBgn0038395" "FBgn0038395" "Jhbp5"
"214" "FBgn0043578" "FBgn0043578" "PGRP-SB1"
"215" "FBgn0038927" "FBgn0038927" "CG6015"
"216" "FBgn0039099" "FBgn0039099" "GILT2"
"217" "FBgn0032005" "FBgn0032005" "Snx6"
"218" "FBgn0027512" "FBgn0027512" "CG10254"
"219" "FBgn0020386" "FBgn0020386" "Pdk1"
"220" "FBgn0001104" "FBgn0001104" "Gαi"
"221" "FBgn0035952" "FBgn0035952" "CG5280"
"222" "FBgn0035371" "FBgn0035371" "AhcyL1"
"223" "FBgn0030006" "FBgn0030006" "CG17982"
"224" "FBgn0042094" "FBgn0042094" "Ak3"
"225" "FBgn0036648" "FBgn0036648" "CG4098"
"226" "FBgn0032172" "FBgn0032172" "CG5850"
"227" "FBgn0036186" "FBgn0036186" "CG6071"
"228" "FBgn0010611" "FBgn0010611" "Hmgs"
"229" "FBgn0037007" "FBgn0037007" "BNIP3"
"230" "FBgn0002719" "FBgn0002719" "Men"
"231" "FBgn0015278" "FBgn0015278" "Pi3K68D"
"232" "FBgn0027498" "FBgn0027498" "CG2061"
"233" "FBgn0030263" "FBgn0030263" "CG2076"
"234" "FBgn0024326" "FBgn0024326" "Mkk4"
"235" "FBgn0038233" "FBgn0038233" "HtrA2"
"236" "FBgn0000251" "FBgn0000251" "cad"
"237" "FBgn0037620" "FBgn0037620" "ranshi"
"238" "FBgn0037530" "FBgn0037530" "EMC1"
"239" "FBgn0004922" "FBgn0261592" "RpS6"
"240" "FBgn0017581" "FBgn0017581" "Lk6"
"241" "FBgn0003557" "FBgn0003557" "Su(dx)"
"242" "FBgn0040286" "FBgn0265298" "SC35"
"243" "FBgn0010097" "FBgn0010097" "γTub37C"
"244" "FBgn0032727" "FBgn0032727" "Bhmt"
"245" "FBgn0022768" "FBgn0022768" "Pp2C1"
"246" "FBgn0036398" "FBgn0036398" "upSET"
"247" "FBgn0035139" "FBgn0035139" "CG13891"
"248" "FBgn0034372" "FBgn0034372" "Gint3"
"249" "FBgn0031664" "FBgn0031664" "CG8892"
"250" "FBgn0023180" "FBgn0023180" "Orc6"
"251" "FBgn0031896" "FBgn0031896" "CG4502"
"252" "FBgn0016132" "FBgn0250786" "Chd1"
"253" "FBgn0051108" "FBgn0051108" "TTLL5"
"254" "FBgn0015789" "FBgn0015789" "Rab10"
"255" "FBgn0032215" "FBgn0267365" "l(2)SH0834"
"256" "FBgn0052190" "FBgn0052190" "NUCB1"
"257" "FBgn0011704" "FBgn0011704" "RnrS"
"258" "FBgn0032646" "FBgn0032646" "mEFTs"
"259" "FBgn0053113" "FBgn0053113" "Rtnl1"
"260" "FBgn0036053" "FBgn0036053" "iPLA2-VIA"
"261" "FBgn0053174" "FBgn0261244" "inaE"
"262" "FBgn0030813" "FBgn0030813" "CG4949"
"263" "FBgn0020615" "FBgn0261270" "Sps1"
"264" "FBgn0033919" "FBgn0033919" "CG8547"
"265" "FBgn0036801" "FBgn0036801" "MYPT-75D"
"266" "FBgn0038889" "FBgn0038889" "Fancm"
"267" "FBgn0003189" "FBgn0003189" "r"
"268" "FBgn0030774" "FBgn0030774" "sphe"
"269" "FBgn0034290" "FBgn0034290" "CG5773"
"270" "FBgn0033504" "FBgn0033504" "CAP"
"271" "FBgn0004629" "FBgn0004629" "Cys"
"272" "FBgn0003638" "FBgn0003638" "su(w[a])"
"273" "FBgn0011673" "FBgn0086347" "Myo31DF"
"274" "FBgn0032050" "FBgn0032050" "CG13096"
"275" "FBgn0032400" "FBgn0032400" "CG6770"
"276" "FBgn0032444" "FBgn0032444" "CCT4"
"277" "FBgn0043884" "FBgn0043884" "mask"
"278" "FBgn0025628" "FBgn0289578" "CG4199"
"279" "FBgn0030073" "FBgn0030073" "CG10962"
"280" "FBgn0031220" "FBgn0031220" "CG4822"
"281" "FBgn0038376" "FBgn0038376" "Hmt-1"
"282" "FBgn0039118" "FBgn0039118" "CG10208"
"283" "FBgn0026370" "FBgn0286813" "SRPK"
"284" "FBgn0033913" "FBgn0033913" "CG8468"
"285" "FBgn0000042" "FBgn0000042" "Act5C"
"286" "FBgn0000043" "FBgn0000043" "Act42A"
"287" "FBgn0000045" "FBgn0000045" "Act79B"
"288" "FBgn0000115" "FBgn0000115" "Arl1"
"289" "FBgn0000163" "FBgn0000163" "baz"
"290" "FBgn0000182" "FBgn0000182" "BicC"
"291" "FBgn0000261" "FBgn0000261" "Cat"
"292" "FBgn0000276" "FBgn0000276" "CecA1"
"293" "FBgn0000277" "FBgn0000277" "CecA2"
"294" "FBgn0000279" "FBgn0000279" "CecC"
"295" "FBgn0000346" "FBgn0000346" "comt"
"296" "FBgn0000355" "FBgn0000355" "Cp15"
"297" "FBgn0000356" "FBgn0000356" "Cp16"
"298" "FBgn0000357" "FBgn0000357" "Cp18"
"299" "FBgn0000358" "FBgn0000358" "Cp19"
"300" "FBgn0000360" "FBgn0000360" "Cp38"
