"submitted_item" "validated_id" "current_symbol"
"138" 33330 "FBgn0051661" "CG31661"
"139" 33359 "FBgn0051664" "CG31664"
"140" 33385 "FBgn0031389" "CG4259"
"141" 33396 "FBgn0031397" "CG15385"
"142" 33413 "FBgn0031412" "CG16995"
"143" 33420 "FBgn0031417" "CG3597"
"144" 33438 "FBgn0031432" "Cyp309a1"
"145" 33446 "FBgn0250835" "CG15394"
"146" 33474 "FBgn0031461" "daw"
"147" 33510 "FBgn0031489" "CG17224"
"148" 33511 "FBgn0031490" "CG17264"
"149" 33541 "FBgn0031516" "CG9663"
"150" 33545 "FBgn0031520" "CG8837"
"151" 33548 "FBgn0031523" "CG15408"
"152" 33553 "FBgn0031528" "CG15412"
"153" 33559 "FBgn0031533" "CG2772"
"154" 33585 "FBgn0031554" "CG15418"
"155" 33593 "FBgn0031562" "CG3604"
"156" 33615 "FBgn0031579" "CG15422"
"157" 33616 "FBgn0031580" "CG15423"
"158" 33636 "FBgn0020762" "Atet"
"159" 33678 "FBgn0287234" "slf"
"160" 33707 "FBgn0031654" "Jon25Bii"
"161" 33708 "FBgn0020906" "Jon25Bi"
"162" 33726 "FBgn0016075" "vkg"
"163" 33727 "FBgn0000299" "Col4a1"
"164" 33749 "FBgn0031689" "Cyp28d1"
"165" 33752 "FBgn0031692" "TpnC25D"
"166" 33755 "FBgn0031694" "Cyp4ac2"
"167" 33756 "FBgn0031695" "Cyp4ac3"
"168" 33759 "FBgn0016076" "vri"
"169" 33763 "FBgn0031700" "CG14022"
"170" 33764 "FBgn0031701" "TotM"
"171" 33765 "FBgn0031702" "fusl"
"172" 33770 "FBgn0261963" "mid"
"173" 33824 "FBgn0001128" "Gpdh1"
"174" 33827 "FBgn0003980" "Vm26Ab"
"175" 33828 "FBgn0086266" "Vm26Ac"
"176" 33829 "FBgn0003979" "Vm26Aa"
"177" 33830 "FBgn0086265" "psd"
"178" 33831 "FBgn0031756" "CG13992"
"179" 33839 "FBgn0001089" "Gal"
