Gene ID,LogFC,P-value,FDR,Day 1 Rep 1,Day 1 Rep 2,Day 1 Rep 3,Day 60 Rep 1,Day 60 Rep 2,Day 60 Rep 3
FBgn0036770,0.429312821,0.027489037,0.033199861,42.70729461,47.00728243,59.88399129,69.22786839,66.17418744,63.59438285
FBgn0036772,1.281283033,9.81852418478158E-05,0.000143124,5.652892814,6.841865669,12.78459792,23.44642532,17.46096718,19.87619538
FBgn0036774,2.187025692,6.64221884494551E-30,6.45439390657091E-29,20.90327947,20.06743636,25.10187372,93.89256741,111.2656961,92.46443861
FBgn0036775,2.137863227,1.40591685728736E-17,5.31239893703512E-17,16.15112232,25.2599237,33.48029167,103.7456231,123.5219519,99.5226125
FBgn0036777,3.310534501,5.69085672278915E-25,3.80255410685738E-24,2.049950141,1.466114072,1.435346502,13.46513031,19.88343653,15.32025036
FBgn0036778,-2.231748964,5.1242578634357E-21,2.54793929410849E-20,117.281996,101.2229591,59.31652872,19.23590045,18.51630036,20.23028437
FBgn0036780,-2.868185081,1.94823828741416E-07,3.45453267402548E-07,4.845336697,5.131399252,1.936048771,0.854928909,0.215863605,0.495724588
FBgn0036783,-3.232594629,5.03545427488991E-20,2.31590932722119E-19,16.46172083,17.22684035,18.65950453,0.961795022,2.374499658,2.195351746
FBgn0036784,-2.485865811,7.22369225232617E-24,4.42976683621483E-23,92.30987605,82.34674038,50.23712759,10.40875946,14.91857361,14.18716559
FBgn0036785,-2.572334164,1.80095025095535E-23,1.07241077764735E-22,87.43347951,71.65632527,50.93811076,8.399676529,11.70460438,14.65928424
FBgn0036786,-3.978209585,2.2397958078439E-10,4.94632890251202E-10,2.671147154,4.978679036,4.038998298,0.512957345,0.04796969,0.141635597
FBgn0036787,-1.89059727,7.07449786491932E-08,1.29327177057437E-07,15.34356621,8.827228475,7.443773722,2.415174167,2.830211714,3.139589057
FBgn0036789,-2.337474442,6.53713259803152E-10,1.39905830942259E-09,4.783216996,4.795414777,7.143352361,0.983168245,1.007363491,1.274720369
FBgn0036790,-3.328755495,3.49308141962209E-14,1.0209375290867E-13,4.410498789,3.543109007,3.171114366,0.256478673,0.551651436,0.283271193
FBgn0036796,-1.131248921,0.008861136,0.011167519,7.236945195,7.574922705,4.005618146,2.030456158,1.750893687,4.62676282
FBgn0036801,0.826352744,2.34317375700099E-06,3.84615967915612E-06,68.89074868,64.6006513,55.37767088,112.7651231,121.6751188,95.46239207
FBgn0036804,1.401653258,1.65217697520239E-10,3.68631506070272E-10,12.5171198,15.2109335,16.75683591,34.38951536,43.1967059,38.66651785
FBgn0036805,0.568030899,0.000580921,0.000800321,62.95831721,67.68559966,64.62397276,91.75524514,95.14788024,98.43673959
FBgn0036807,-2.785048862,3.25271017672341E-16,1.11057316665899E-15,19.35028694,14.60005263,11.84995368,1.49612559,2.950135939,2.124533948
FBgn0036808,-2.414590523,8.69682595639181E-10,1.84577716194505E-09,18.38743157,11.94272088,6.375608883,2.607533172,2.182620898,1.935686486
FBgn0036809,-2.412421559,1.46543514391994E-06,2.43551461997593E-06,7.330124747,5.925544374,3.338015122,0.512957345,1.846833067,0.731783915
FBgn0036811,1.352808272,1.23239932974197E-08,2.38311224857886E-08,9.566433992,8.888316561,10.24770642,21.30910305,25.28002666,25.84849637
FBgn0036812,3.221955644,4.37290434750525E-23,2.52491655463516E-22,2.857506257,3.207124532,6.442369186,39.62595492,42.5011454,33.68566604
FBgn0036813,0.605930526,0.003179253,0.00414483,35.53246911,34.69803304,50.5709291,59.03284115,60.56173371,62.29605654
FBgn0036814,0.61030822,0.002333725,0.003073304,40.19144671,35.43109007,43.49433704,63.35023214,68.50071741,47.8492257
FBgn0036815,4.466927276,1.01657398243218E-76,6.05621574861113E-75,11.27472578,7.116762058,12.08361474,225.1241549,247.7394643,194.0879791
FBgn0036818,2.529112772,9.70537448770599E-21,4.7262727022064E-20,4.162019984,4.092901784,3.671816634,22.54874997,26.98295066,18.45983942
FBgn0036819,1.137824679,7.88242241503233E-06,1.2465021504496E-05,10.49822951,8.491244,7.043211908,17.71840164,20.5070425,18.22378009
FBgn0036821,-2.790777214,6.00327886610035E-39,9.42559141181199E-38,248.1371466,271.1700152,299.7871381,42.06250231,29.38143516,44.9693019
FBgn0036824,0.584453319,0.000686539,0.000940341,89.7629683,108.8895139,102.9443864,148.5438979,135.9221168,160.8508258
FBgn0036825,0.958137421,9.06884120622774E-09,1.76949275387508E-08,1203.87981,1195.157865,1336.407734,2212.727002,2348.763919,2602.12918
FBgn0036826,3.792107617,4.37848373159065E-51,1.09453508027547E-49,2.857506257,3.237668576,2.770552551,40.22440516,45.95496308,35.10202201
FBgn0036827,2.737491094,3.13981349016785E-43,5.88668855678675E-42,10.187631,10.99585554,10.98206975,70.04005085,76.77548895,64.89270915
FBgn0036828,1.757004155,5.97787964794535E-13,1.59339300923386E-12,8.634638473,10.41551872,11.64967278,40.28852483,32.78728316,29.15332695
FBgn0036830,-2.503274266,5.46976596452261E-18,2.12863389138275E-17,58.98265633,54.58220514,31.77790396,5.557037907,9.641907703,10.05612735
FBgn0036831,4.726570471,2.84197055019397E-17,1.04990676744199E-16,0.248478805,0.122176173,0.233661059,7.608867288,2.782242024,5.452970467
FBgn0036832,-2.09529585,4.99275137106804E-09,9.95972261457462E-09,14.19435174,9.407565295,7.64405463,1.624364927,2.782242024,2.809105998
FBgn0036833,3.543661263,5.84697309658553E-18,2.26988611474936E-17,0.869675817,2.50461154,2.603651795,26.7165284,15.59014927,26.27340316
FBgn0036834,-2.079796432,1.22288265390372E-14,3.69794377481463E-14,31.46362868,43.31145321,34.24803515,7.437881507,6.499893004,11.40166552
FBgn0036836,-3.654085374,1.17182489800789E-38,1.81746905410008E-37,40.84370357,35.70598646,27.17144309,3.163236963,2.470439038,2.431411074
FBgn0036837,-0.857523525,6.49096302365313E-06,1.03260902905607E-05,987.2684119,987.3972834,734.6303681,510.4780515,403.2811844,552.6148858
FBgn0036838,1.497539554,1.42970312963284E-11,3.46263016711419E-11,12.98301756,15.82181436,13.78600245,42.06250231,44.56384207,31.93882702
FBgn0036839,-4.5364618,2.46786950132866E-48,5.49090196726686E-47,28.35764362,31.61308468,41.59166842,1.389259477,1.199242252,1.723233091
FBgn0036844,0.995631051,1.72119316253341E-08,3.29333507866403E-08,56.62210769,60.3550293,49.83656577,108.5118518,124.8651032,94.49454882
FBgn0036847,2.40881243,3.06731261756268E-25,2.10469152644277E-24,11.89592279,10.0489902,16.25613364,71.62166934,64.85502097,64.01928964
FBgn0036848,1.528942819,1.5460861761281E-15,4.99899889917757E-15,19.07074828,20.61722914,22.56498223,56.31844187,60.72962762,60.31315819
FBgn0036849,-0.969301878,0.010433667,0.013087251,2.298428946,3.023860273,1.835908317,1.367886254,1.175257407,1.038661041
FBgn0036850,2.326016743,5.07311169486318E-24,3.13206300231529E-23,10.93306742,10.17116637,8.144756898,47.87601889,57.56362808,39.20945431
FBgn0036851,-2.780451355,5.66507731202794E-12,1.40705378240881E-11,5.031695801,3.818005396,4.673221171,0.4702109,0.911424111,0.566542386
FBgn0036853,1.884065011,8.81616394065203E-24,5.34970366869932E-23,18.76014978,20.34233275,19.49400831,64.01280205,78.23856449,71.31352286
FBgn0036857,-0.873384663,0.001426581,0.001909349,32.30224465,46.45748966,41.15772646,21.97167296,13.71933136,28.5395727
FBgn0036859,-1.870848091,0.000567002,0.000782158,0.621197012,0.549792777,0.734363327,0.128239336,0.14390907,0.236059328
FBgn0036862,-2.536804671,2.07265682501058E-37,3.04077121542691E-36,171.4814353,171.3215381,220.1754775,32.65828432,27.94234446,35.10202201
FBgn0036868,-2.383570329,3.02308484097005E-08,5.6728449569513E-08,4.534738191,5.40629564,2.336610585,0.641196682,0.959393801,0.708177983
FBgn0036874,-2.176111239,1.43599043038381E-05,2.22908096882542E-05,4.193079834,2.748963885,2.102949527,0.384718009,1.175257407,0.42490679
FBgn0036875,-1.822001938,6.13348121775754E-14,1.76195926194662E-13,61.28108528,52.87173872,41.09096615,13.10178553,11.68061953,18.31820382
FBgn0036876,1.106734931,1.73984900974901E-05,2.68571679686283E-05,12.95195771,18.63186633,18.75964499,34.11166346,27.17482942,45.44142056
FBgn0036877,-2.222977438,1.61115520123517E-14,4.81721802545664E-14,16.86549889,21.71681469,21.12963572,4.189151653,3.261938924,5.122487408
FBgn0036880,-4.457419023,9.20519936171665E-31,9.39608380004208E-30,11.92698264,12.37033748,11.64967278,0.641196682,0.28781814,0.660966117
FBgn0036881,-4.367231174,1.18469053448929E-55,3.5043200984232E-54,39.72554895,43.06710086,42.96025462,2.286934831,1.439090702,2.242563612
FBgn0036886,1.733383703,2.84953671254852E-15,9.01457656284891E-15,15.34356621,14.5084205,20.4620327,55.54900585,60.75361247,49.24197573
FBgn0036887,0.772967138,4.56186122955096E-06,7.33869638051043E-06,66.62337959,70.58728376,76.60744705,112.6368837,130.5974812,117.7463926
FBgn0036888,0.929259958,2.1015594323939E-08,3.98702101243897E-08,79.73063655,81.98021186,86.28769091,164.0181112,152.6875235,148.7409823
FBgn0036889,2.41219801,1.43924016496625E-25,1.01655805336037E-24,6.522568631,7.483290576,7.64405463,36.82606275,42.90888776,34.11057283
FBgn0036890,-1.998236402,2.43540144226622E-08,4.6005234831015E-08,5.683952664,7.666554835,6.208708127,1.96633649,1.702923997,1.133084772
FBgn0036891,-2.137863969,4.07446744421851E-16,1.38226145413363E-15,123.6803252,100.7953424,97.26976066,27.76381631,14.31895248,29.48381001
FBgn0036893,2.139207682,1.90447341635958E-18,7.6908874200723E-18,8.696758175,11.24020789,6.842931,39.00613146,44.06016032,33.04830586
FBgn0036895,-2.62696962,1.9760023448577E-23,1.17281442712248E-22,105.9762103,89.21915009,53.57514271,11.19956871,11.63264984,16.66578853
FBgn0036896,-0.467484926,0.026679318,0.032258595,37.86195791,33.47627131,37.95323194,27.3790983,21.9461332,28.4687549
FBgn0036897,1.139334323,1.32181680590801E-08,2.54983241920429E-08,26.30769348,26.54277351,22.06427996,57.04513144,60.825567,44.68603071
FBgn0036899,-2.121988669,5.5888659389917E-08,1.02787726278426E-07,10.1255113,9.315933166,6.141947825,1.602991704,1.271196787,2.879923796
FBgn0036900,0.774594745,2.84696981355876E-05,4.31530354928791E-05,35.78094792,39.15746334,36.08394347,66.02188498,68.04500536,53.13695463
FBgn0036905,-2.054703138,5.97059661923331E-05,8.8490044522908E-05,1.584052382,1.25230577,0.968024385,0.277851895,0.479696901,0.141635597
FBgn0036906,2.686435146,1.00592554156165E-11,2.46152490007092E-11,1.087094772,0.855233209,2.002809073,9.104992879,8.922362352,7.128991692
FBgn0036908,2.166302726,2.87266701668869E-27,2.34466272700154E-26,13.47997517,11.91217683,13.21853988,56.21157575,59.77023382,55.04903519
FBgn0036909,2.035789272,1.02221845068583E-17,3.89720784323972E-17,7.174825494,8.766140389,9.84714461,32.0812073,40.00672151,32.52897534
FBgn0036911,1.375057843,2.04363266079984E-11,4.88639774803773E-11,16.52384053,21.0143017,18.89316559,47.1279561,53.51018927,43.78900526
FBgn0036915,1.360072958,1.48923198225745E-13,4.15999529837865E-13,30.59395286,28.34487206,31.67776351,79.08092407,82.05215485,68.43359906
FBgn0036916,1.288026976,4.26191817515289E-08,7.90330106400352E-08,9.566433992,10.62932702,12.15037504,26.33181039,26.7910719,24.85704719
